,"('Sample1', 'CD4')","('Sample2', 'CD4')","('Sample3', 'CD4')","('Sample3', 'CD8')","('Sample4', 'CD4')","('Sample5', 'CD4')","('Sample5', 'CD8')","('Sample6', 'CD4')","('Sample6', 'CD8')"
Gene_154,CAPG,LGALS3BP,IL2RA,,MYL6,,,PLAC8,
Gene_155,LPAR5,ARHGDIB,ERP29,,RPLP2,,,RPL10,
Gene_156,PPA1,RPS14,COL9A2,,ASB2,,,EVA1B,
Gene_157,PDE4D,RGS10,RPL26,,GIMAP4,,,PLEKHA5,
Gene_158,LGALS9,IL12RB2,ZDHHC14,,RPL5,,,PERP,
Gene_159,AIF1,PPFIBP1,PTPN6,,AQP3,,,TNFAIP3,
Gene_160,UBC,GBP5,GLIPR2,,RPL36A,,,MAGI1,
Gene_161,ISG15,RPL31,RPS14,,RPS27A,,,PTPRK,
Gene_162,RPS24,B3GNT5,RPS23,,IKZF3,,,LBH,
Gene_163,MXRA8,RPS12,CD52,,LTB,,,ETFB,
Gene_164,BST2,RANBP9,STAT1,,APP,,,HSP90AB1,
Gene_165,CCR4,TNFSF10,MYC,,RPL36AL,,,GSTM4,
Gene_166,EIF3L,NMT2,CTSD,,ERI1,,,NME1,
Gene_167,IL12RB2,LINC01684,LINC00649,,MAP3K1,,,LINC01871,
Gene_168,HCST,TMEM173,MCUB,,RPL12,,,RGS10,
Gene_169,ERP29,MT1E,GPR171,,TNFRSF18,,,SORL1,
Gene_170,CD82,DDIT4,SLC25A5,,GZMK,,,SPINT2,
Gene_171,RPS15A,GSTK1,ASAP1,,RPL37A,,,EPAS1,
Gene_172,C1QBP,GALT,RPL36,,EOMES,,,TEX14,
Gene_173,CD48,PRKCB,RPL7A,,MAP3K5,,,MIF,
Gene_174,DOCK8,CAMK4,NACA,,MT-ND1,,,TSHZ2,
Gene_175,RPL22,FCER1G,PFN1,,HLA-A,,,TNFSF11,
Gene_176,RPL31,SERPINB9,RPS25,,CCDC50,,,AL691403.1,
Gene_177,B2M,GLB1,RPS9,,SOS1,,,PRKCA,
Gene_178,TSPYL2,SEPTIN11,ITGB7,,PLAAT3,,,HLA-C,
Gene_179,FOS,CD99,VIM,,ITGA4,,,PFDN5,
Gene_180,CD3G,PLAAT3,PVT1,,RUNX1,,,NT5DC2,
Gene_181,RPL35,PARVG,RPL11,,RPS21,,,SKAP2,
Gene_182,RPL12,RPL39,PLSCR1,,GSTP1,,,C1QBP,
Gene_183,ZFAS1,RPS24,RPL14,,MIR4435-2HG,,,YPEL1,
