Gene,dropout,highly_variable,F_pval,Adj_F_pval
LUCAT1,0.8841172460804363,1,7.1570318894886825e-12,5.144689233121152e-07
ZYX,0.4287661895023858,0,3.841717334036962e-11,5.602172841388833e-07
TPT1,0.0006816632583503749,0,8.130426027573564e-11,6.777264693302319e-07
NCALD,0.6905248807089298,1,2.5416453828841416e-11,6.84123043168201e-07
SELL,0.8847989093387867,1,1.2771044095534346e-11,9.234530394217768e-07
YPEL3,0.14587593728698023,0,1.0088696245001088e-10,9.839184187589804e-07
ANXA2,0.5589638718473074,0,5.368609131962363e-11,1.0139875446612766e-06
ITM2B,0.10906612133605999,0,1.1763676952912953e-10,1.0998731933363514e-06
SLC25A5,0.23176550783912747,0,1.1053005340913985e-10,1.1984821747697994e-06
SATB1,0.6182685753237901,0,5.745471599518204e-11,1.2537552669283645e-06
SNHG16,0.7021131561008862,0,4.6845386524656646e-11,1.3099674515419267e-06
COL9A2,0.9270620313565099,0,1.173238901739928e-11,1.3399166762187954e-06
SEL1L3,0.6980231765507839,0,5.127467768574147e-11,1.4144067754724746e-06
CLINT1,0.6728016359918201,0,5.96995951521647e-11,1.5198658744060821e-06
SNHG29,0.07770961145194274,1,1.8017064956866027e-10,1.627276538433467e-06
SPIRE1,0.9352419904567144,0,1.3942611828924258e-11,1.7934763182816388e-06
CD200R1,0.885480572597137,0,2.7991674529224057e-11,2.0360794156625956e-06
RBPJ,0.47375596455351054,0,1.3842769819122726e-10,2.191193910548702e-06
TIMP1,0.41513292433537835,1,1.7672073118132598e-10,2.5169542824198524e-06
GPR183,0.792774369461486,0,6.516993745624275e-11,2.6196835671329167e-06
RPL32,0.002044989775051125,1,3.356353748269143e-10,2.801571858112106e-06
FLNB,0.7941376959781867,0,7.189095430755986e-11,2.908991290209785e-06
IFITM1,0.16155419222903886,1,3.246908643058567e-10,3.225819575457433e-06
DYNLL1,0.20040899795501022,0,3.1456735997377533e-10,3.2771080488398394e-06
HERPUD1,0.4560327198364008,0,2.369934612632724e-10,3.6291806590450217e-06
TBCD,0.7498295841854125,0,1.1008019788757545e-10,3.665373643073406e-06
TRG-AS1,0.5930470347648262,0,1.8322246751141586e-10,3.7504165954119404e-06
SMAD2,0.43558282208588955,0,2.6127020417148877e-10,3.855979027413105e-06
ATP5MC3,0.07702794819359236,0,4.607806179501435e-10,4.158633557768632e-06
GMFG,0.05794137695978187,0,5.656580137937879e-10,5.001738893590163e-06
PPP1R10,0.4894342194955692,0,3.233450560621861e-10,5.275450137564861e-06
SIRPG,0.787321063394683,1,1.5460041298312023e-10,6.055237348394734e-06
PTPN6,0.6319018404907976,1,3.381710228735151e-10,7.652753885790502e-06
PDIA3,0.10156782549420586,0,8.610346622223463e-10,7.983261218641818e-06
SLC9A9,0.8657123381049762,1,1.3783095527358186e-10,8.549794085524116e-06
LAG3,0.47989093387866394,1,6.02152801642401e-10,9.644001930377878e-06
CHCHD10,0.34628493524199044,0,7.981484969233245e-10,1.0170450916306243e-05
PTPRM,0.940013633265167,0,7.437204985189051e-11,1.0327666251313466e-05
SRGN,0.008861622358554875,1,1.2958925200265033e-09,1.0891299272971854e-05
CD3G,0.22699386503067484,0,1.0149303806362392e-09,1.0937002551778406e-05
SLFN5,0.49897750511247446,0,7.846285882406489e-10,1.3045234908089032e-05
PPIA,0.006816632583503749,0,1.5808301780898762e-09,1.3258695036086394e-05
MT-CO1,0.0,0,2.094519406927342e-09,1.744734665970476e-05
APMAP,0.6428084526244036,0,7.667908535915056e-10,1.788219194252308e-05
PIM2,0.5371506475800955,1,1.2868612828646244e-09,2.3159921106549083e-05
PNRC1,0.125426039536469,0,2.802176558077615e-09,2.668971611779411e-05
GAPDH,0.0,1,3.448011256171268e-09,2.8721933763906662e-05
RPS13,0.0027266530334014998,0,3.872618827995782e-09,3.2347114194244386e-05
DCXR,0.4342194955691888,0,2.2080444848668543e-09,3.25090921565859e-05
CAPZB,0.1499659168370825,0,3.370543910912325e-09,3.3030005895091267e-05
CD226,0.8786639400136332,0,4.998248450033269e-10,3.431412689142474e-05
ETS2,0.8820722563053851,1,5.142100360358556e-10,3.632198383504114e-05
RPL23,0.17995910020449898,0,3.5865312171025254e-09,3.643209143094493e-05
HSP90B1,0.07839127471029311,0,4.050966689512422e-09,3.661483620723198e-05
SGMS1,0.8895705521472392,0,5.212512783972453e-10,3.931943184972197e-05
ICOS,0.7457396046353102,0,1.2097154039536074e-09,3.963231985256707e-05
PGK1,0.250852079072938,0,3.5759924569304824e-09,3.9762530648644915e-05
TMEM204,0.7661895023858214,0,1.2779439466865143e-09,4.55294915520214e-05
AC068756.1,0.9488752556237219,0,2.834539203430224e-10,4.618450782030629e-05
ZBTB16,0.9420586230402181,0,3.245521261233843e-10,4.6659560964254474e-05
TTC28,0.8861622358554874,1,7.219684087077642e-10,5.2829541143316374e-05
DUSP2,0.7177914110429447,1,1.8339486273795735e-09,5.4132980581950236e-05
MECP2,0.7675528289025222,0,1.5584978547580788e-09,5.58504845158585e-05
LINC00910,0.8104976141785958,1,1.3748622204377185e-09,6.043513513882435e-05
UBB,0.13224267211997273,0,6.5132185759483815e-09,6.25233679906776e-05
PRMT1,0.5753237900477164,0,3.4394312641567557e-09,6.746425101995924e-05
CSK,0.4948875255623722,0,4.420025024793715e-09,7.289229690382177e-05
HSPD1,0.4049079754601227,0,5.483612459053397e-09,7.675870268843413e-05
ENPP3,0.643490115882754,1,3.3046856401339666e-09,7.721533850450763e-05
SAMHD1,0.7689161554192229,0,2.164501980069895e-09,7.802493301378148e-05
EIF1,0.0,0,9.594631574227649e-09,7.992328101331631e-05
PAICS,0.8002726653033402,0,2.131092331266512e-09,8.888116965267311e-05
HIST1H2BK,0.710974778459441,0,3.446533548728192e-09,9.933259217959638e-05
STT3B,0.501704158145876,0,6.1445763302619316e-09,0.00010271873961586476
S100A10,0.1629175187457396,0,1.0534562602153182e-08,0.00010483185162882584
NSMCE1-DT,0.9277436946148603,1,9.486348011033367e-10,0.00010936246810670658
PRKCQ,0.47171097477845947,0,7.903925683943884e-09,0.00012462818230918646
SCPEP1,0.7075664621676891,1,4.596700379923639e-09,0.00013093749249349338
NCL,0.27334696659850033,0,1.1491413717885387e-08,0.00013173202597379773
CENPM,0.8977505112474438,1,1.6879682185048287e-09,0.00013751438204422027
SNAP47,0.8186775732788003,1,3.069154040726225e-09,0.00014099774430307877
AFDN,0.8568507157464212,1,3.2411322580772167e-09,0.0001886047272297713
RPS3,0.0006816632583503749,0,2.2798225884376084e-08,0.0001900387640599748
FKBP2,0.4758009543285617,0,1.2124885255595695e-08,0.00019267546366808522
RPL8,0.002044989775051125,0,2.4792695332845393e-08,0.00020694635530318122
SOCS1,0.7184730743012951,1,7.074973188040702e-09,0.0002093388634501406
HLA-DPA1,0.6475800954328562,1,9.523723539003805e-09,0.0002251082190642472
CD3E,0.008861622358554875,0,2.7029054679918933e-08,0.00022716507660565624
HSPE1,0.46353101567825494,0,1.7024434556354907e-08,0.000264346204531713
RPS3A,0.0013633265167007499,0,3.610459138288628e-08,0.00030116182812554436
HSPA1B,0.8377641445126107,0,5.880140338245874e-09,0.0003019158056672343
LYN,0.9250170415814588,0,2.748031967965327e-09,0.00030528411756411633
ZNF626,0.9427402862985685,0,2.1246948676924767e-09,0.0003090952976147325
FILIP1L,0.7559645535105658,0,9.763864012024516e-09,0.0003332834979105612
RGL4,0.8316291751874574,1,7.571375275314198e-09,0.0003745872012778129
NEAT1,0.31970006816632585,1,3.161150467819427e-08,0.0003870702048427341
CALR,0.27471029311520107,0,3.405020228599074e-08,0.0003910688133994908
HOMER2,0.7580095432856169,1,1.1637517436923986e-08,0.00040059645973557505
EVI2B,0.15337423312883436,0,4.2557810601672035e-08,0.0004187287656293063
PABPC1,0.08111792774369461,0,4.768453558831411e-08,0.0004322776485075024
