,"('Sample1', 'CD4')","('Sample2', 'CD4')","('Sample3', 'CD4')","('Sample4', 'CD4')","('Sample5', 'CD8')","('Sample6', 'CD4')","('Sample6', 'CD8')"
Gene_194,ANP32B,MED23,FMNL2,RPS15,,PKM,
Gene_195,AL391056.1,RGS2,DOCK8,AC108134.3,,RPS27A,
Gene_196,RPS17,CYBA,PCED1B-AS1,GPR183,,RPS17,
Gene_197,TNFRSF4,DBNL,AC108134.3,ATF5,,NOSIP,
Gene_198,LINC00910,OCIAD2,ATP8B4,RAMP1,,PHTF2,
Gene_199,RIPOR2,ACVR2A,DAD1,SEPTIN6,,CREB3L3,
Gene_200,CRBN,PAX8-AS1,ZBP1,ANXA1,,RAC2,
Gene_201,CXCR6,GAB2,RPL24,IL2RG,,RPL28,
Gene_202,RAMP1,CCR2,ETV6,GADD45G,,CAPS2,
Gene_203,CREM,TNFRSF18,RPS11,RPS7,,AL606807.1,
Gene_204,PABPC1,TRPC4AP,NCALD,ANXA5,,MAPK1,
Gene_205,BCL2,GLIPR1,ASB2,TENT5C,,FAR2,
Gene_206,HLA-DRA,LEF1,PLCL2,LGALS9,,CD68,
Gene_207,CTSW,RPLP0,CNN2,CD3E,,CKAP4,
Gene_208,S1PR1,DZIP3,FBLN7,NDFIP2,,HCST,
Gene_209,ADD3,ZEB1,CCR8,RPL15,,NCALD,
Gene_210,IL4R,HSBP1L1,LINC00470,HLA-DRB5,,SKAP2,
Gene_211,SIT1,NDFIP1,ARID5B,RPL11,,LUCAT1,
Gene_212,RPS11,BEX4,CALM1,LINC01943,,TPT1,
Gene_213,LAG3,RASGRF2,NOP53,RPL26,,RPL37A,
Gene_214,SOCS2,CLDND1,RPL21,ITM2A,,SNHG16,
Gene_215,CCR5,SERPINB1,SUB1,TOX,,NFKB1,
Gene_216,UPP1,CD59,LINC00271,PFN1,,SATB1,
Gene_217,CTSD,IL3RA,ITGAX,IFI44L,,SSR3,
Gene_218,TPT1,TBL1X,C4orf48,ST8SIA6,,SPIRE1,
Gene_219,DENND2D,USP28,AC009315.1,INPP4B,,SYTL3,
Gene_220,ACTB,PIN4,RPS3,CFL1,,SELL,
Gene_221,CFAP36,REEP3,AP000787.1,ADGRE1,,RBPJ,
Gene_222,LRRN3,PHLDA1,HMGA1,LYST,,YPEL3,
Gene_223,TDRD12,LINC01943,KLF2,RPS25,,NDFIP2,
Gene_224,SLC25A6,PLCL1,ATP5PB,CD38,,CD9,
Gene_225,NAP1L1,ARL6IP5,BTLA,EEF2,,ITM2B,
Gene_226,PLAC8,AC119396.1,S100A10,ACTB,,SNHG29,
Gene_227,CRTAP,PIK3IP1,UBA52,FAM117B,,SEL1L3,
Gene_228,TIMP1,RETREG1,AL391056.1,CSF2,,ZYX,
Gene_229,KRT1,ARHGEF12,USP46,ARL4C,,PYHIN1,
Gene_230,CNIH1,RPL11,SNHG8,HLA-DRB1,,RPSA,
Gene_231,GADD45G,GPR183,KLF12,HOMER2,,TBCD,
Gene_232,DUSP2,SOX4,CYTOR,RPS9,,DYNLL1,
Gene_233,OAZ1,MT-ND1,ATXN1,RPL34,,SMAD2,
Gene_234,YBX1,CMTM7,SFMBT2,TPT1,,RPL27,
Gene_235,HLA-A,HSPA8,ZEB2,HSP90AB1,,LITAF,
Gene_236,AOAH,TTC28,CHD7,PHACTR2,,RPS21,
Gene_237,SNRPF,KLF13,OGT,MIF,,CLINT1,
Gene_238,PCTP,FYB1,BTG1,GYPC,,ATP5MC3,
Gene_239,TMEM258,NSMCE1,PFKL,S100A11,,GPR183,
Gene_240,EIF3M,TOP1,DDIT4,STT3B,,COL9A2,
Gene_241,RPS27A,AKT3,NAALADL1,VIM,,CD3G,
Gene_242,ERI1,S100A10,PPDPF,PRKX,,FLNB,
Gene_243,CORO1B,SYTL2,PTPRM,TMEM158,,HERPUD1,
Gene_244,IDH2,COTL1,MYL6,PTPRN2,,GMFG,
Gene_245,MT-ND6,CD3E,AC022182.1,LDOC1,,PTPRM,
Gene_246,FRY,ANK3,AC119396.1,NSMCE1-DT,,IFITM1,
Gene_247,CSF2,PRKCA,LMO4,BCL2A1,,SLFN5,
Gene_248,EOMES,DNM1L,RBPJ,WNT5B,,APMAP,
Gene_249,SIRPG,JAKMIP2,PASK,NCALD,,CD200R1,
Gene_250,PHB2,KLHL42,CD2,ITM2B,,IL10RA,
Gene_251,GZMM,ATP5MC2,LIMS1,MT1F,,PPP1R10,
Gene_252,TNIK,RPL22,PLP2,RPL22,,CAPZB,
Gene_253,PPP1R10,YWHAB,C1orf162,CTSD,,CD226,
Gene_254,TMSB4X,TSC22D3,AL138828.1,CLDND1,,DCXR,
Gene_255,SNHG7,PMS1,EPHA4,PRKCB,,GAPDH,
Gene_256,MIR4435-2HG,JAML,SEPTIN9,DENND2D,,PPIA,
Gene_257,PPDPF,ZEB2,HYI,RPL35A,,LRRN3,
Gene_258,ATP5MC2,PYHIN1,BCL2L11,RGS9,,TMEM204,
Gene_259,SMIM26,YPEL1,ACE,PYCARD,,NEK1,
Gene_260,RPS25,EPSTI1,ABCD2,MRPL14,,LZTFL1,
Gene_261,HLA-DRB1,INPP4B,TRERF1,ADA,,RPL23,
Gene_262,PIM1,ARHGEF3,ATAD3C,IL16,,DUSP2,
Gene_263,RPL30,NCR3,YWHAQ,RPS17,,PGK1,
Gene_264,ITM2A,LAT,GNLY,CCR2,,ENPP3,
Gene_265,SSR4,CLIC1,GAB2,PPIA,,HSPD1,
