,exp1_abs,exp1_norm,exp1_perc,exp2_Sample1_perc,exp2_Sample2_perc,exp2_Sample3_perc,exp2_Sample4_perc,exp2_Sample5_perc,exp2_Sample6_perc,exp2_Sample1,exp2_Sample2,exp2_Sample3,exp2_Sample4,exp2_Sample5,exp2_Sample6,exp3_Sample1,exp3_Sample1_perc,exp3_Sample4,exp3_Sample4_perc,exp3_Sample2,exp3_Sample2_perc,exp3_Sample3,exp3_Sample3_perc,exp3_Sample5,exp3_Sample5_perc,exp3_Sample6,exp3_Sample6_perc
9,100,44.30660168365087,0.007384433613941812,0.001838235294117647,0.009771986970684038,0.007390983000739098,0.03335155822854018,0.02853306478684122,0.020030816640986132,1,18,10,61,85,52,236.0,0.03351320647543311,132.0,0.02422462837217838,78.0,0.02016546018614271,150.0,0.04829362524146812,153.0,0.0869812393405344,68.0,0.06457739791073125
33,7,3.1014621178555606,0.0005169103529759268,0.0,0.0005428881650380022,0.0007390983000739098,0.0016402405686167304,0.0010070493454179255,0.005007704160246533,0,1,1,3,3,13,2.0,0.00028401022436807724,90.0,0.016516792071939807,1.0,0.0002585315408479835,,,4.0,0.0022740193291642978,1.0,0.000949667616334283
39,1,0.44306601683650865,7.38443361394181e-05,0.0,0.0,0.0,0.0005467468562055768,0.0003356831151393085,0.0,0,0,0,1,1,0,25.0,0.0035501278046009654,6.0,0.0011011194714626537,4.0,0.001034126163391934,13.0,0.004185447520927237,,,,
36,36,15.221987315010571,0.002536997885835095,0.0,0.0,0.0,0.002733734281027884,0.011077542799597181,0.001926040061633282,0,0,0,5,33,5,,,,,,,,,,,,
24,174,73.57293868921776,0.01226215644820296,0.016544117647058824,0.008143322475570033,0.0014781966001478197,0.007107709130672498,0.00872776099362202,0.0011556240369799693,9,15,2,13,26,3,24.0,0.003408122692416927,15.0,0.0027527986786566342,10.0,0.0025853154084798345,14.0,0.004507405022537025,14.0,0.007959067652075043,14.0,0.013295346628679962
29,145,61.3107822410148,0.0102184637068358,0.007352941176470588,0.004885993485342019,0.0,0.004373974849644614,0.0010070493454179255,0.0003852080123266564,4,9,0,8,3,1,,,,,,,,,,,,
12,357,150.95137420718817,0.025158562367864696,0.003676470588235294,0.009771986970684038,0.037694013303769404,0.03225806451612903,0.02181940248405505,0.032742681047765794,2,18,51,59,65,85,117.0,0.01661459812553252,88.0,0.01614975224811892,63.0,0.01628748707342296,57.0,0.018351577591757887,48.0,0.027288231949971573,36.0,0.03418803418803419
3,988,417.7589852008457,0.06962649753347429,0.011029411764705883,0.011943539630836048,0.05469327420546933,0.03171131765992345,0.0553877139979859,0.075115562403698,6,22,74,58,165,195,221.0,0.031383129792672534,203.0,0.03725454211781978,293.0,0.07574974146845916,164.0,0.05280103026400515,38.0,0.02160318362706083,15.0,0.014245014245014245
45,10,4.2283298097251585,0.0007047216349541931,0.0,0.0005428881650380022,0.0,0.0,0.0016784155756965425,0.0003852080123266564,0,1,0,0,5,1,,,,,,,,,,,,
7,542,217.3215717722534,0.036220261962042234,0.014705882352941176,0.005971769815418024,0.014781966001478197,0.027884089666484417,0.027190332326283987,0.053929121725731895,8,11,20,51,81,140,156.0,0.022152797500710024,123.0,0.0225729491649844,105.0,0.027145811789038264,119.0,0.03831294269156471,74.0,0.04206935758953951,50.0,0.04748338081671415
