Gene,dropout,highly_variable,F_pval,Adj_F_pval
AL365295.1,0.8937947494033412,1,0.05956528296908132,1.0
SGF29,0.89618138424821,0,0.07862300318827181,1.0
GMFB,0.8842482100238663,0,0.6438740490366127,1.0
NSMCE1-DT,0.9474940334128878,0,0.03155344332446379,1.0
ACTR10,0.8496420047732697,0,0.19877349506193645,1.0
IL21R,0.9164677804295943,0,0.016960086573160497,1.0
ARMH4,0.9427207637231504,0,0.18746850399148768,1.0
GTF3C1,0.8591885441527446,0,0.18012657567589965,1.0
NAA30,0.9152744630071599,0,0.322956766431051,1.0
KIAA0556,0.9307875894988067,0,0.9983149698396013,1.0
XPO6,0.7828162291169452,0,0.054201833560539335,1.0
CDR2,0.6610978520286396,0,0.6444697625400537,1.0
EXOC5,0.8389021479713604,0,0.9314124016990941,1.0
CLN3,0.7744630071599046,0,0.9067734723664133,1.0
TMEM260,0.8651551312649165,0,0.3780097628017341,1.0
APOBR,0.9272076372315036,0,0.9015934667548869,1.0
KTN1,0.5584725536992841,0,0.09018888447641767,1.0
ATG14,0.8758949880668258,0,0.36336438267702037,1.0
FBXO34,0.8484486873508353,0,0.04186056944539758,1.0
LGALS3,0.9307875894988067,0,0.0049320372995950625,1.0
MAPK1IP1L,0.6551312649164678,0,0.9599025619492033,1.0
SOCS4,0.8926014319809069,0,0.8491678813323926,1.0
GCH1,0.7935560859188544,0,0.09710774018522278,1.0
CGRRF1,0.9236276849642004,0,0.18408656776527169,1.0
NSMCE1,0.39856801909307876,0,0.006112378848981871,1.0
POLR3E,0.8854415274463007,0,0.5441174401998876,1.0
VPS35L,0.8615751789976134,0,0.7899380572453958,1.0
EEF2K,0.8926014319809069,0,0.2535956128544739,1.0
TMED8,0.9236276849642004,0,0.40892516831796255,1.0
GSTZ1,0.9343675417661098,0,0.4212748451478452,1.0
IRF2BPL,0.9331742243436754,0,0.22199499623449293,1.0
GPATCH2L,0.7768496420047732,0,0.03031823489594074,1.0
BMERB1,0.8997613365155132,0,2.6648786272187437e-05,1.0
IFT43,0.9116945107398569,0,0.9882568253758554,1.0
ERG28,0.8496420047732697,0,0.053779027407095614,1.0
MARF1,0.7899761336515513,0,0.7643223077583327,1.0
TTLL5,0.918854415274463,0,0.38152573485175156,1.0
BATF,0.7315035799522673,1,0.051001320937242495,1.0
NDE1,0.8090692124105012,0,0.22222271536778931,1.0
FOPNL,0.8389021479713604,0,0.2185430225664423,1.0
AL691403.1,0.9164677804295943,0,0.013300919037508166,1.0
TMED10,0.41766109785202865,0,0.010011868762478273,1.0
NEK9,0.8245823389021479,0,0.06288561833326124,1.0
ABCC1,0.7744630071599046,0,0.18342428987048684,1.0
ACYP1,0.905727923627685,0,0.8534093967129474,1.0
MLH3,0.9331742243436754,0,0.5834580843747872,1.0
XYLT1,0.8532219570405728,1,0.003139524814754352,1.0
NOMO2,0.8866348448687351,0,0.22826569883739645,1.0
EIF2B2,0.8484486873508353,0,0.6156420374132019,1.0
DLST,0.7995226730310262,0,0.5200409566039331,1.0
YLPM1,0.6861575178997613,0,0.3289495291906574,1.0
VIPAS39,0.9128878281622912,0,0.4424966654248581,1.0
FCF1,0.931980906921241,0,0.7030833444650135,1.0
AHSA1,0.7625298329355609,0,0.6029559242256928,1.0
ALKBH1,0.9427207637231504,0,0.3692637430707113,1.0
CPPED1,0.9343675417661098,0,0.3977416620020934,1.0
NRDE2,0.9224343675417661,0,0.13488564529265484,1.0
ERCC4,0.931980906921241,0,0.11969906415116309,1.0
MRTFB,0.9427207637231504,0,0.7651908583179376,1.0
PARN,0.8007159904534606,0,0.24667161441703553,1.0
PSMC1,0.7386634844868735,0,0.4003575569454516,1.0
TDP1,0.8854415274463007,0,0.0284750443400971,1.0
BFAR,0.7780429594272077,0,0.6359888132146083,1.0
NOMO1,0.9451073985680191,0,0.10004653735696897,1.0
PDXDC1,0.7553699284009546,0,0.3061183781172152,1.0
FOXN3,0.35083532219570407,1,0.581391115755697,1.0
NTAN1,0.8138424821002387,0,0.40085446891687393,1.0
RRN3,0.8651551312649165,0,0.669845667883469,1.0
